Date,Time,Location,Type,Status
2026-07-05,10:26:16,Room 201,Smoke Triggered,Pending
2026-07-05,10:26:28,Room 201,Smoke Triggered,Pending
2026-07-05,10:26:33,Room 201,Smoke Triggered,Pending
2026-07-05,10:26:40,Room 201,Smoke Triggered,Pending
2026-07-05,10:26:45,Room 201,Smoke Triggered,Pending
2026-07-05,10:27:00,Room 201,Smoke Triggered,Pending
2026-07-05,10:27:06,Room 201,Smoke Triggered,Pending
2026-07-05,10:27:11,Room 201,Smoke Triggered,Pending
2026-07-05,10:27:25,Room 201,Smoke Triggered,Pending
2026-07-05,10:27:32,Room 201,Smoke Triggered,Pending
2026-07-05,10:27:42,Room 201,Smoke Triggered,Pending
2026-07-05,10:27:47,Room 201,Smoke Triggered,Pending
2026-07-05,10:28:03,Room 201,Smoke Triggered,Pending
2026-07-05,10:28:14,Room 201,Smoke Triggered,Pending
2026-07-05,10:28:20,Room 201,Smoke Triggered,Pending
2026-07-05,10:28:26,Room 201,Smoke Triggered,Pending
2026-07-05,10:28:32,Room 201,Smoke Triggered,Pending
2026-07-05,10:28:37,Room 201,Smoke Triggered,Pending
2026-07-05,10:28:52,Room 201,Smoke Triggered,Pending
2026-07-05,10:28:57,Room 201,Smoke Triggered,Pending
2026-07-05,10:29:02,Room 201,Smoke Triggered,Pending
2026-07-05,10:29:12,Room 201,Smoke Triggered,Pending
2026-07-05,10:29:17,Room 201,Smoke Triggered,Pending
2026-07-05,10:29:23,Room 201,Smoke Triggered,Pending
2026-07-05,10:29:29,Room 201,Smoke Triggered,Pending
2026-07-05,10:29:39,Room 201,Smoke Triggered,Pending
2026-07-05,10:29:45,Room 201,Smoke Triggered,Pending
2026-07-05,10:29:50,Room 201,Smoke Triggered,Pending
2026-07-05,10:29:55,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:01,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:08,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:13,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:20,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:26,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:32,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:39,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:46,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:52,Room 201,Smoke Triggered,Pending
2026-07-05,10:30:57,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:04,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:10,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:17,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:23,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:29,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:35,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:41,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:47,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:53,Room 201,Smoke Triggered,Pending
2026-07-05,10:31:59,Room 201,Smoke Triggered,Pending
2026-07-05,10:32:05,Room 201,Smoke Triggered,Pending
2026-07-05,10:32:13,Room 201,Smoke Triggered,Pending
2026-07-05,10:32:19,Room 201,Smoke Triggered,Pending
2026-07-05,10:32:26,Room 201,Smoke Triggered,Pending
2026-07-05,10:32:32,Room 201,Smoke Triggered,Pending
2026-07-05,10:32:38,Room 201,Smoke Triggered,Pending
2026-07-05,10:33:22,Room 201,Smoke Triggered,Pending
2026-07-05,10:33:37,Room 201,Smoke Triggered,Pending
2026-07-05,10:33:44,Room 201,Smoke Triggered,Pending
2026-07-05,10:33:49,Room 201,Smoke Triggered,Pending
2026-07-05,10:33:55,Room 201,Smoke Triggered,Pending
2026-07-05,10:34:01,Room 201,Smoke Triggered,Pending
2026-07-05,10:34:06,Room 201,Smoke Triggered,Pending
2026-07-05,10:34:12,Room 201,Smoke Triggered,Pending
2026-07-05,10:34:24,Room 201,Smoke Triggered,Pending
2026-07-05,10:34:29,Room 201,Smoke Triggered,Pending
2026-07-05,10:34:35,Room 201,Smoke Triggered,Pending
2026-07-05,10:34:43,Room 201,Smoke Triggered,Pending
2026-07-05,10:34:48,Room 201,Smoke Triggered,Pending
2026-07-05,10:34:54,Room 201,Smoke Triggered,Pending
2026-07-05,10:35:07,Room 201,Smoke Triggered,Pending
2026-07-05,10:35:13,Room 201,Smoke Triggered,Pending
2026-07-05,10:35:22,Room 201,Smoke Triggered,Pending
2026-07-05,10:35:35,Room 201,Smoke Triggered,Pending
2026-07-05,10:35:41,Room 201,Smoke Triggered,Pending
2026-07-05,10:35:51,Room 201,Smoke Triggered,Pending
2026-07-05,10:35:58,Room 201,Smoke Triggered,Pending
2026-07-05,10:36:05,Room 201,Smoke Triggered,Pending
2026-07-05,10:36:12,Room 201,Smoke Triggered,Pending
2026-07-05,10:36:22,Room 201,Smoke Triggered,Pending
2026-07-05,10:36:28,Room 201,Smoke Triggered,Pending
2026-07-05,10:36:34,Room 201,Smoke Triggered,Pending
2026-07-05,10:36:40,Room 201,Smoke Triggered,Pending
2026-07-05,10:36:46,Room 201,Smoke Triggered,Pending
2026-07-05,10:36:53,Room 201,Smoke Triggered,Pending
2026-07-05,10:36:59,Room 201,Smoke Triggered,Pending
2026-07-05,10:37:06,Room 201,Smoke Triggered,Pending
2026-07-05,10:37:15,Room 201,Smoke Triggered,Pending
2026-07-05,10:37:21,Room 201,Smoke Triggered,Pending
2026-07-05,10:37:38,Room 201,Smoke Triggered,Pending
2026-07-05,10:37:44,Room 201,Smoke Triggered,Pending
2026-07-05,10:37:49,Room 201,Smoke Triggered,Pending
2026-07-05,10:37:57,Room 201,Smoke Triggered,Pending
2026-07-05,10:38:05,Room 201,Smoke Triggered,Pending
2026-07-05,10:38:11,Room 201,Smoke Triggered,Pending
2026-07-05,10:38:17,Room 201,Smoke Triggered,Pending
2026-07-05,10:38:24,Room 201,Smoke Triggered,Pending
2026-07-05,10:38:30,Room 201,Smoke Triggered,Pending
2026-07-05,10:38:36,Room 201,Smoke Triggered,Pending
2026-07-05,10:38:42,Room 201,Smoke Triggered,Pending
2026-07-05,10:38:54,Room 201,Smoke Triggered,Pending
2026-07-05,10:39:02,Room 201,Smoke Triggered,Pending
2026-07-05,10:39:08,Room 201,Smoke Triggered,Pending
2026-07-05,10:39:14,Room 201,Smoke Triggered,Pending
2026-07-05,10:39:21,Room 201,Smoke Triggered,Pending
2026-07-05,10:39:31,Room 201,Smoke Triggered,Pending
2026-07-05,10:39:36,Room 201,Smoke Triggered,Pending
2026-07-05,10:39:44,Room 201,Smoke Triggered,Pending
2026-07-05,10:39:49,Room 201,Smoke Triggered,Pending
